id,text,hate_type,hate_severity,to_whom
266651,বি এন পির বল্লে তাদের খমতা আসতে পারবে না,Political Hate,Little to None,None
561654,দাজ্জালের হাতে থাকবে তাপমাত্রা নিয়ন্ত্রণ অনেক এলাকায় গাছ পালা কাটা শুরু হয়েছে,Abusive,Severe,None
507755,যে মেধা নিজের সৃষ্টিকর্তাকেই চিনতে পারেনা সেই মেধা পকেট ছেঁড়া প্যান্টের সমান,Abusive,Severe,None
656024,একজন অফিস ক্লিনারের এর বেতন কতো যেখানে তার বেতন সংসার চলা কঠিন সেইখানে এতো টাকা কই থেকে আসলো,Abusive,Little to None,None
3052,যাইহোক বাংলাদেশকে মিয়ানমারের দুই গ্রুপই ব্যবহার করছে বাংলাদেশ তুমি কার ভারতের নাকি মিয়ানমারের,Abusive,Mild,None
623083,মুসকিল আসহান বাবা লীগ,Political Hate,Little to None,None
675844,সবাই থাপ্পড় মারা শুরু করুন ঠিক হয়ে যাবে,Abusive,Severe,None
382540,সাবাস ভাইয়া সালাম আমাদের গদি মিডিয়া ইসরাইল পা চাটা,Abusive,Mild,None
690302,মূর্খের দলগুলো অন্যদের দোষ দেওয়ার আগে নিজের বুদ্ধি নাই ধারণ ক্ষমতার থেকেও অতিরিক্ত মানুষ নৌকাতে উঠছে এখানে প্রশাসন যেয়ে কি করবে,Abusive,Severe,None
227393,মমতাজ কাদের সহ যেই সকল মন্তী এমপি উদ্ভট কথা বলে এদের বাদ দেওয়ার আহ্বান জানাই,Abusive,Mild,None
33066,আমার দাবি এর নিচ দিয়ে লঞ্চ চলাচল নিষিদ্ধ করা হোক বাংলাদেশ বলে কথা,Abusive,Little to None,None
287639,বিএনপির আশায় এভাবে গুড়েবালি হলো,Political Hate,Little to None,None
140689,শালাদের ফাঁসি চাই,Profane,Little to None,None
589233,বড় বড় লেকচার শুনতে রাজি নাই আমরা সাধারন জনগন ভোট অধিকার পেতে চাই,Abusive,Little to None,None
688164,কিশোরগঞ্জের ঐতিহাসিক পাগলা মসজিদ,Abusive,Little to None,None
234943,সার আপনি গর্তে কেনআমরা আপনাকে শিয়াল হিসাবে দেখবো আশা করিনিছাগল হিসাবে দেখতে চায়দোয়া কয়রেন ভাই আপনার ভক্ত প্রথম ভোট যেন ভালো ভাবে দিতে পারে,Abusive,Little to None,None
455140,আলহামদুলিল্লাহ একটা গীগ কমে গেলো,Abusive,Severe,None
617422,বিরিয়ানি দিয়ে মানুষ ভাড়া করে বড়ো বড়ো কথা,Abusive,Little to None,None
